City_ID,City,Country,Current Description,Max Temp,Lat,Lng,Hotel Name
443,Petauke,ZM,clear sky,65.39,-14.24,31.33,Newline Lodge
444,Gashua,NG,few clouds,75.49,12.87,11.05,Forte Oil - Old Lorry Park
445,Codrington,AU,broken clouds,61.47,-38.27,141.97,Codrington Gardens Bed And Breakfast
446,Catherinas Lust,GY,clear sky,81.55,6.4,-57.6,TE'AMO Entertainment Park
447,Mar del Plata,AR,clear sky,60.01,-38.0,-57.56,Gran Hotel Mar del Plata habitaciones
449,Nelson Bay,AU,scattered clouds,71.6,-32.72,152.15,Mantra Nelson Bay
450,Quelimane,MZ,few clouds,71.6,-17.88,36.89,Hotel Flamingo
451,Santa Maria,BR,clear sky,59.0,-29.68,-53.81,Hotel Morotin
452,Kavaratti,IN,broken clouds,81.9,10.57,72.64,Hotels in Lakshadweep Islands
453,Tocopilla,CL,clear sky,61.03,-22.09,-70.2,Hotel Galvarino
454,Rodas,CU,clear sky,77.0,22.34,-80.56,Hostal Casa Mario
455,Agadez,NE,clear sky,64.87,19.75,10.25,
456,Mamboma,SL,light rain,72.0,8.08,-11.68,
459,Ilhabela,BR,overcast clouds,66.88,-23.78,-45.36,Ilha Flat Hotel
463,Tual,ID,broken clouds,83.53,-5.67,132.75,Grand Vilia Hotel
464,Jati,PK,clear sky,80.62,24.35,68.27,
465,Banda Aceh,ID,overcast clouds,85.39,5.56,95.32,OYO 884 Rumoh PMI Hotel
466,São José da Coroa Grande,BR,overcast clouds,76.84,-8.9,-35.15,Crôa Mares Hotel
467,La Esperanza,GT,broken clouds,70.0,14.87,-91.57,Hotel Imperio Inn
468,Balabac,PH,overcast clouds,83.91,7.99,117.06,Sing and Swing Lodge
470,Bereket,TM,clear sky,58.73,39.24,55.52,Railway motel
472,Mildura,AU,clear sky,75.0,-34.2,142.15,Mercure Hotel Mildura
473,Robertsport,LR,moderate rain,78.53,6.75,-11.37,Kwepunha Retreat
474,Mzimba,MW,scattered clouds,62.74,-11.9,33.6,Zagegs Hotel
475,Puerto del Rosario,ES,clear sky,69.8,28.5,-13.86,Hotel JM Puerto del Rosario
478,Barranca,PE,overcast clouds,60.15,-10.75,-77.77,El Olivar Hospedaje
479,Timbiquí,CO,light rain,75.29,2.77,-77.67,hotel diana
480,Neiafu,TO,broken clouds,78.8,-18.65,-173.98,Mystic Sands
482,Tutóia,BR,scattered clouds,80.1,-2.76,-42.27,Pousada Guará's
483,Bay Saint Louis,US,clear sky,57.99,30.31,-89.33,The Abode Guest House
484,Meulaboh,ID,heavy intensity rain,84.31,4.14,96.13,Kost Pria
487,Praia,CV,clear sky,75.2,14.92,-23.51,LT Aparthotel
489,Kefar Tavor,IL,scattered clouds,68.0,32.69,35.42,מלון פנינת העמק
490,Santiago,CL,clear sky,66.0,-33.46,-70.65,Hotel Panamericano
491,Necochea,AR,clear sky,51.01,-38.55,-58.74,dyd -mar Hotel
492,Carballo,ES,light rain,66.2,43.21,-8.69,Pazo do Souto
493,De Aar,ZA,overcast clouds,56.82,-30.65,24.01,Nyibiba Guesthouse
494,Sarankhola,BD,few clouds,81.57,22.31,89.79,ইসা ষ্টোর
495,Nizwá,OM,clear sky,67.19,22.93,57.53,Orient Apartments
496,Umluj,SA,few clouds,77.13,25.02,37.27,Moon light Furnished Units
497,Vasai,IN,haze,78.8,19.47,72.8,Go Firne
498,Buala,SB,scattered clouds,85.71,-8.14,159.59,Maringe Lagoon Lodge
499,Buenos Aires,AR,clear sky,64.4,-34.61,-58.38,Gran Hotel Argentino
500,Triesen,LI,broken clouds,50.0,47.1,9.53,Hotel Oberland
501,Huangpu,CN,overcast clouds,67.69,25.44,113.17,New Era Hotel Furnishing City
504,Rawson,AR,clear sky,69.31,-43.3,-65.1,Hotel Punta León
